"campus","method","survey_year","site","latitude","longitude","MPA_Name","mpa_type","site_status"
"UCSC","SBTL_UPC_PISCO",2009,"BIG_CREEK_UC",36.069152,-121.60804,"Big Creek SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"ANDREW_MOLERA_DC",36.276089,-121.873038,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"ANDREW_MOLERA_UC",36.277685,-121.875988,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"ESALEN_DC",36.124409,-121.647987,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2009,"ESALEN_UC",36.128113,-121.653046,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2009,"STILLWATER_DC",36.559729,-121.944014,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"STILLWATER_UC",36.560116,-121.94732,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"WESTON_DC",36.510347,-121.945786,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"WESTON_UC",36.512613,-121.948765,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"WHITE_ROCK_DC",35.525649,-121.084627,"White Rock SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"WHITE_ROCK_UC",35.5271,-121.089899,"White Rock SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"HARMONY",35.49641,-121.057808,"White Rock SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2009,"CAMBRIA_DC",35.567893,-121.124319,"Cambria SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"CAMBRIA_UC",35.570495,-121.127145,"Cambria SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"MALPASO",36.465747,-121.933984,"Point Lobos SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2009,"BLUEFISH_DC",36.52381268,-121.945094,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"BLUEFISH_UC",36.522225,-121.943542,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"CAYUCOS_DC",35.434393,-120.947256,"White Rock SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2009,"CAYUCOS_UC",35.43415,-120.950473,"White Rock SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2009,"MONASTERY_DC",36.525415,-121.933322,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"ESTERO",35.472387,-121.029631,"White Rock SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2009,"MONASTERY_UC",36.525267,-121.930507,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"MONTANA_DE_ORO",35.23323,-120.89081,"Point Buchon SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"BUCHON",35.244079,-120.901098,"Point Buchon SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"LITTLE_IRISH_UC",35.18421,-120.825084,"Point Buchon SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2009,"LITTLE_IRISH_DC",35.175931,-120.812501,"Point Buchon SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2010,"HOPKINS_DC",36.623586,-121.904196,"Lovers Point - Julia Platt SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2010,"HOPKINS_UC",36.621649,-121.900789,"Lovers Point - Julia Platt SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2010,"MACABEE_DC",36.618184,-121.896835,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2010,"MACABEE_UC",36.617148,-121.895695,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2010,"STILLWATER_DC",36.559729,-121.944014,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2010,"STILLWATER_UC",36.560116,-121.94732,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2010,"WESTON_DC",36.510347,-121.945786,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2010,"WESTON_UC",36.512613,-121.948765,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2010,"ESALEN_DC",36.124409,-121.647987,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2010,"ESALEN_UC",36.128113,-121.653046,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2010,"LOPEZ_DC",36.022241,-121.581233,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2010,"LOPEZ_UC",36.02901,-121.581676,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2010,"BIG_CREEK_DC",36.069079,-121.605115,"Big Creek SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2010,"BIG_CREEK_UC",36.069152,-121.60804,"Big Creek SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2010,"SANDHILL_DC",36.97293,-122.149429,"Natural Bridges SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2010,"SANDHILL_UC",36.974306,-122.152109,"Natural Bridges SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2010,"TERRACE_DC",36.944871,-122.064289,"Natural Bridges SMR","SMR","mpa"
